"CAGDP2 Gross domestic product (GDP) by county and metropolitan area 1/"
"Gross Domestic Product (GDP): All industry total (Thousands of dollars)" 
"Bureau of Economic Analysis" 
"County"
"16041","Franklin, ID",397391
"16043","Fremont (includes Yellowstone Park), ID",419333
"16045","Gem, ID",449540
"16047","Gooding, ID",1115369
"16049","Idaho, ID",494852
"16051","Jefferson, ID",939126
"16053","Jerome, ID",1203598
"16055","Kootenai, ID",6798702
"16057","Latah, ID",1431532
"16059","Lemhi, ID",270538
"16061","Lewis, ID",164254
"16063","Lincoln, ID",237197
"16065","Madison, ID",1390021
"16067","Minidoka, ID",925922
"16069","Nez Perce, ID",2216714
"16071","Oneida, ID",130684
"16073","Owyhee, ID",394398
"16075","Payette, ID",852382
"16077","Power, ID",484889
"16079","Shoshone, ID",557382
"16081","Teton, ID",388836
"16083","Twin Falls, ID",3779161
"16085","Valley, ID",523026
"16087","Washington, ID",493999
"17001","Adams, IL",3515923
"17003","Alexander, IL",164057
"17005","Bond, IL",586347
"17007","Boone, IL",1863983
"17009","Brown, IL",533364
"17011","Bureau, IL",1298872
"17013","Calhoun, IL",95906
"17015","Carroll, IL",613071
"17017","Cass, IL",676249
"17019","Champaign, IL",11460999
"17021","Christian, IL",1410030
"17023","Clark, IL",566139
"17025","Clay, IL",588691
"17027","Clinton, IL",1128952
"17029","Coles, IL",2499186
"17031","Cook, IL",407423348
"17033","Crawford, IL",1255118
"17035","Cumberland, IL",798312
"17037","DeKalb, IL",4509734
"17039","De Witt, IL",1323345
"17041","Douglas, IL",1131744
"17043","DuPage, IL",94355351
"17045","Edgar, IL",813968
"17047","Edwards, IL",286996
"17049","Effingham, IL",2183702
"17051","Fayette, IL",578335
"17053","Ford, IL",743550
"17055","Franklin, IL",1018355
"17057","Fulton, IL",903917
"17059","Gallatin, IL",181506
"17061","Greene, IL",312162
"17063","Grundy, IL",4575436
"17065","Hamilton, IL",331023
"17067","Hancock, IL",542341
"17069","Hardin, IL",81180
"17071","Henderson, IL",171621
"17073","Henry, IL",1599181
"17075","Iroquois, IL",1080038
"17077","Jackson, IL",2544447
"17079","Jasper, IL",474057
"17081","Jefferson, IL",1898274
"17083","Jersey, IL",543817
"17085","Jo Daviess, IL",830802
"17087","Johnson, IL",250730
"17089","Kane, IL",28034696
"17091","Kankakee, IL",6621871
"17093","Kendall, IL",4041988
"17095","Knox, IL",1844145
"17097","Lake, IL",63817537
"17099","LaSalle, IL",6030586
"17101","Lawrence, IL",531504
"17103","Lee, IL",1669020
"17105","Livingston, IL",1947317
"17107","Logan, IL",1050294
"17109","McDonough, IL",1140640
"17111","McHenry, IL",11917926
"17113","McLean, IL",14820693
"17115","Macon, IL",6660252
"17117","Macoupin, IL",1226030
"17119","Madison, IL",12089866
"17121","Marion, IL",1360283
"17123","Marshall, IL",413832
"17125","Mason, IL",422076
"17127","Massac, IL",647124
"17129","Menard, IL",256072
"17131","Mercer, IL",408059
"17133","Monroe, IL",955225
"17135","Montgomery, IL",1017464
"17137","Morgan, IL",1666656
"17139","Moultrie, IL",865598
"17141","Ogle, IL",3018459
"17143","Peoria, IL",13039905
"17145","Perry, IL",663862
"17147","Piatt, IL",547267
"17149","Pike, IL",560047
"17151","Pope, IL",66243
"17153","Pulaski, IL",178787
"17155","Putnam, IL",358148
"17157","Randolph, IL",1456124
"17159","Richland, IL",609156
"17161","Rock Island, IL",10500203
"17163","St. Clair, IL",11985340
"17165","Saline, IL",836136
"17167","Sangamon, IL",11406220
"17169","Schuyler, IL",247965
"17171","Scott, IL",148799
"17173","Shelby, IL",826067
"17175","Stark, IL",226424
"17177","Stephenson, IL",1969731
"17179","Tazewell, IL",5817569
"17181","Union, IL",453777
"17183","Vermilion, IL",3330069
"17185","Wabash, IL",398652
"17187","Warren, IL",811781
"17189","Washington, IL",1147534
"17191","Wayne, IL",448998
"17193","White, IL",495533
"17195","Whiteside, IL",2205946
"17197","Will, IL",35368152
"17199","Williamson, IL",2977692
"17201","Winnebago, IL",13822915
"17203","Woodford, IL",1242458
"18001","Adams, IN",1873334
"18003","Allen, IN",21633788
